discussion_title;word;n;tf;idf;tf_idf;date
20 YEARS OF DEVOLUTION 2019-07-11;devolution;18;0,0209545983701979;2,89394957924405;0,0606415511366623;2019-07-11
20 YEARS OF DEVOLUTION 2019-07-11;wales;13;0,0151338766006985;2,0374773425808;0,030834930679337;2019-07-11
20 YEARS OF DEVOLUTION 2019-07-11;scottish;15;0,0174621653084983;1,70296397044492;0,0297374383663258;2019-07-11
20 YEARS OF DEVOLUTION 2019-07-11;mackintosh;4;0,00465657741559953;6,32793678372919;0,0294665275144549;2019-07-11
20 YEARS OF DEVOLUTION 2019-07-11;parliament;18;0,0209545983701979;1,17464518923142;0,0246142181678294;2019-07-11
20 YEARS OF DEVOLUTION 2019-07-11;senedd;3;0,00349243306169965;6,32793678372919;0,0220998956358412;2019-07-11
20 YEARS OF DEVOLUTION 2019-07-11;scotland;11;0,0128055878928987;1,71281626688794;0,0219336192500201;2019-07-11
20 YEARS OF DEVOLUTION 2019-07-11;institution;5;0,00582072176949942;3,55534806148941;0,020694691859659;2019-07-11
20 YEARS OF DEVOLUTION 2019-07-11;legislature;3;0,00349243306169965;5,22932449506109;0,0182630657569072;2019-07-11
20 YEARS OF DEVOLUTION 2019-07-11;lothian;3;0,00349243306169965;5,22932449506109;0,0182630657569072;2019-07-11
20 YEARS OF DEVOLUTION 2019-07-11;powers;7;0,00814901047729918;1,89711998488588;0,0154596506335287;2019-07-11
20 YEARS OF DEVOLUTION 2019-07-11;welsh;5;0,00582072176949942;2,61436471702489;0,0152174896217979;2019-07-11
20 YEARS OF DEVOLUTION 2019-07-11;carmarthenshire;2;0,00232828870779977;6,32793678372919;0,0147332637572275;2019-07-11
20 YEARS OF DEVOLUTION 2019-07-11;hearts;3;0,00349243306169965;4,02535169073515;0,014058271329692;2019-07-11
20 YEARS OF DEVOLUTION 2019-07-11;voted;5;0,00582072176949942;2,37669306514777;0,0138340690637239;2019-07-11
56. INSURANCE PREMIUM TAX (STANDARD RATE) 2016-03-22;provision;16;0,117647058823529;2,52127429395888;0,296620505171632;2016-03-22
56. INSURANCE PREMIUM TAX (STANDARD RATE) 2016-03-22;tax;11;0,0808823529411765;1,76358859226136;0,142643194962316;2016-03-22
56. INSURANCE PREMIUM TAX (STANDARD RATE) 2016-03-22;purposes;4;0,0294117647058824;2,99573227355399;0,088109772751588;2016-03-22
56. INSURANCE PREMIUM TAX (STANDARD RATE) 2016-03-22;connection;3;0,0220588235294118;3,68887945411394;0,0813723408995721;2016-03-22
56. INSURANCE PREMIUM TAX (STANDARD RATE) 2016-03-22;corporation;3;0,0220588235294118;3,28341434600577;0,0724282576324803;2016-03-22
56. INSURANCE PREMIUM TAX (STANDARD RATE) 2016-03-22;income;4;0,0294117647058824;2,18480205733766;0,064258884039343;2016-03-22
56. INSURANCE PREMIUM TAX (STANDARD RATE) 2016-03-22;finance;4;0,0294117647058824;1,9712279570396;0,057977292854106;2016-03-22
56. INSURANCE PREMIUM TAX (STANDARD RATE) 2016-03-22;rate;3;0,0220588235294118;2,2008023986841;0,0485471117356788;2016-03-22
56. INSURANCE PREMIUM TAX (STANDARD RATE) 2016-03-22;disposals;1;0,00735294117647059;6,32793678372919;0,0465289469391853;2016-03-22
56. INSURANCE PREMIUM TAX (STANDARD RATE) 2016-03-22;sportspeople;1;0,00735294117647059;6,32793678372919;0,0465289469391853;2016-03-22
56. INSURANCE PREMIUM TAX (STANDARD RATE) 2016-03-22;unlisted;1;0,00735294117647059;6,32793678372919;0,0465289469391853;2016-03-22
56. INSURANCE PREMIUM TAX (STANDARD RATE) 2016-03-22;employed;2;0,0147058823529412;3,10906095886099;0,0457214846891323;2016-03-22
56. INSURANCE PREMIUM TAX (STANDARD RATE) 2016-03-22;payments;2;0,0147058823529412;2,92673940206704;0,0430402853245153;2016-03-22
56. INSURANCE PREMIUM TAX (STANDARD RATE) 2016-03-22;levy;2;0,0147058823529412;2,89394957924405;0,0425580820477066;2016-03-22
56. INSURANCE PREMIUM TAX (STANDARD RATE) 2016-03-22;testimonials;1;0,00735294117647059;5,63478960316925;0,0414322764938915;2016-03-22
90TH BIRTHDAY OF HER MAJESTY THE QUEEN 2016-04-21;majesty;5;0,0196850393700787;3,76298742626766;0,0740745556351901;2016-04-21
90TH BIRTHDAY OF HER MAJESTY THE QUEEN 2016-04-21;westmorland;3;0,0118110236220472;5,22932449506109;0,0617636751385168;2016-04-21
90TH BIRTHDAY OF HER MAJESTY THE QUEEN 2016-04-21;occasion;4;0,015748031496063;3,61988658262699;0,0570060879153856;2016-04-21
90TH BIRTHDAY OF HER MAJESTY THE QUEEN 2016-04-21;occasions;4;0,015748031496063;3,19244256780005;0,0502746861070873;2016-04-21
90TH BIRTHDAY OF HER MAJESTY THE QUEEN 2016-04-21;reign;2;0,0078740157480315;5,63478960316925;0,0443684220721988;2016-04-21
90TH BIRTHDAY OF HER MAJESTY THE QUEEN 2016-04-21;lonsdale;2;0,0078740157480315;5,22932449506109;0,0411757834256778;2016-04-21
90TH BIRTHDAY OF HER MAJESTY THE QUEEN 2016-04-21;birthday;2;0,0078740157480315;4,53617731450114;0,0357179316102452;2016-04-21
90TH BIRTHDAY OF HER MAJESTY THE QUEEN 2016-04-21;service;5;0,0196850393700787;1,73281693359461;0,0341105695589489;2016-04-21
90TH BIRTHDAY OF HER MAJESTY THE QUEEN 2016-04-21;constant;2;0,0078740157480315;4,24849524204936;0,0334527184413335;2016-04-21
90TH BIRTHDAY OF HER MAJESTY THE QUEEN 2016-04-21;majesty’s;3;0,0118110236220472;2,80157625911303;0,0330894833753508;2016-04-21
90TH BIRTHDAY OF HER MAJESTY THE QUEEN 2016-04-21;britain;6;0,0236220472440945;1,33750419695046;0,0315945873295384;2016-04-21
90TH BIRTHDAY OF HER MAJESTY THE QUEEN 2016-04-21;grandchildren;2;0,0078740157480315;3,28341434600577;0,025853656267762;2016-04-21
90TH BIRTHDAY OF HER MAJESTY THE QUEEN 2016-04-21;queen;2;0,0078740157480315;3,28341434600577;0,025853656267762;2016-04-21
90TH BIRTHDAY OF HER MAJESTY THE QUEEN 2016-04-21;all.it;1;0,00393700787401575;6,32793678372919;0,0249131369438157;2016-04-21
90TH BIRTHDAY OF HER MAJESTY THE QUEEN 2016-04-21;allegiance;1;0,00393700787401575;6,32793678372919;0,0249131369438157;2016-04-21
90TH BIRTHDAY OF HER MAJESTY THE QUEEN 2016-04-21;birthdays;1;0,00393700787401575;6,32793678372919;0,0249131369438157;2016-04-21
90TH BIRTHDAY OF HER MAJESTY THE QUEEN 2016-04-21;card.her;1;0,00393700787401575;6,32793678372919;0,0249131369438157;2016-04-21
